Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.4121133,0.00025851678,0.123722106,0.006858922,0.73292184,-0.0032753068953752518,0.0,0.0,-0.0032753203995525837,654.5
4000,1.4117573,0.00025791678,0.11541894,0.008054268,0.62543875,0.49127982680996257,0.0827738920537134,4.01860640446345,0.49127980942527455,880.0
6000,1.4113274,0.00025731677,0.104837835,0.006464271,0.64312905,2.1643827222287655,0.16908052749931812,13.277718245983124,2.164382703602314,1732.0
8000,1.4129912,0.0002567168,0.11996916,0.0009877696,0.6452737,0.44776221737265587,0.15820623456966132,6.242870548740029,0.4477622165577486,901.5
10000,1.414584,0.00025611676,0.09282741,0.007928971,0.65708506,0.6060953699052334,0.23429089970886707,6.724445819854736,0.6060953800333664,966.5
12000,1.4160849,0.00025551676,0.06587372,0.017203284,0.6879566,0.7741471044719219,0.24016055557876825,7.727992743253708,0.7741470881737769,1055.5
14000,1.417358,0.00025491678,0.09664597,0.01745889,0.66698873,0.3560698591172695,0.1384539809077978,5.8026798367500305,0.35606982093304396,863.0
16000,1.4187688,0.00025431678,0.1155879,0.020961989,0.6719227,5.522000219672918,0.41713657043874264,17.83158802986145,5.522000188939273,2482.0
18000,1.4199699,0.0002537168,0.111730985,0.021219833,0.661699,0.3720354549586773,0.15937948320060968,5.540981471538544,0.37203544506337494,893.0
20000,1.4208994,0.0002531168,0.09228883,0.017091865,0.6357973,1.008404191583395,0.1829244983382523,6.273991607129574,1.0084042043890804,1201.0
22000,1.4225664,0.00025251677,0.08326273,0.018788556,0.6249697,1.2847770117223263,0.29900209535844624,7.4728827103972435,1.2847770126536489,1331.0
24000,1.4239334,0.00025191676,0.07951845,0.022234181,0.633512,0.8682774864137173,0.1817325595766306,6.454254239797592,0.8682774978224188,1112.0
26000,1.4229307,0.0002513168,0.071249895,0.026362566,0.64689595,1.551765974611044,0.20011187170166522,9.297060512006283,1.5517659803153947,1445.5
28000,1.4223663,0.00025071678,0.05555609,0.025455803,0.652405,0.5171079896390438,0.07900429982692003,5.946958407759666,0.5171080038417131,909.0
30000,1.4234349,0.00025011678,0.024743266,0.025932401,0.6846896,0.45116762941082317,0.0847119652510931,5.50902263323466,0.4511676113276432,877.6666666666666
32000,1.4246387,0.00024951677,0.02602845,0.027860831,0.6710769,None,None,None,None,None
34000,1.4251697,0.00024891677,0.04694713,0.029586134,0.71061826,3.871120657771826,0.22967271227389574,14.31394311785698,3.8711206280859187,2104.5
36000,1.424982,0.0002483168,0.04518203,0.03502851,0.7459413,0.3410334847867489,0.2034302211832255,6.1039216965436935,0.34103349468205124,824.5
38000,1.4255397,0.0002477168,0.053194888,0.029697208,0.77495843,0.6358075402677059,0.37368797278031707,7.106372386217117,0.6358075195457786,963.0
40000,1.4252292,0.00024711678,0.03986559,0.03083817,0.77222365,1.4628732465207577,0.9537622299976647,10.076674789190292,1.4628732244018465,1382.0
42000,1.4240284,0.00024651678,0.03396814,0.024657732,0.7789016,0.4622988663613796,0.39212251733988523,6.666223818436265,0.46229887078516185,919.0
44000,1.423198,0.00024591677,0.04291634,0.030975055,0.7652947,1.2430543266236782,1.2900418324861676,8.740694768726826,1.2430543447844684,1289.0
46000,1.4227753,0.00024531677,0.059487432,0.016230945,0.7518048,1.856622215360403,0.6272603813558817,10.531975150108337,1.856622220017016,1569.0
48000,1.4212728,0.00024471676,0.062257163,0.036529865,0.7398408,0.6685393117368221,0.5738004059530795,6.874205827713013,0.6685392806539312,999.5
50000,1.4188253,0.00024411679,0.07372407,0.04528285,0.72513056,2.7979736886918545,1.07194940187037,13.591211259365082,2.7979736716952175,2090.0
52000,1.4178066,0.0002435168,0.07341157,0.039981894,0.7168504,0.38537342473864555,0.2708597630262375,5.3873530626297,0.38537344650831074,885.0
54000,1.4176873,0.0002429168,0.055872057,0.053857997,0.7232617,0.04323313757777214,0.2707098266109824,4.875073127448559,0.04323314060457051,703.0
56000,1.4172789,0.00024231678,0.026081607,0.05054152,0.70982945,-0.255034410705169,0.2729222389558951,3.5774097541968026,-0.255034415749833,568.0
58000,1.418037,0.0002417168,0.015050148,0.049773473,0.7037232,-0.24292967841029167,0.20696821995079517,3.6327669583261013,-0.2429296644986607,573.0
60000,1.4192197,0.0002411168,-0.0024840406,0.05913015,0.6880338,-0.3879934487243493,0.17455083752671877,2.8512709786494574,-0.3879934553212176,511.0
62000,1.4203882,0.0002405168,-0.039462022,0.06388877,0.6818785,0.07601770386099815,0.34692638212194044,4.562807708978653,0.07601771208768089,738.6666666666666
64000,1.4210751,0.0002399168,-0.052834533,0.068892464,0.6665915,0.019745435565710068,0.2985007942964633,2.9942440489927926,0.01974542555399239,716.3333333333334
66000,1.4226346,0.0002393168,-0.06356459,0.05021762,0.6491333,-0.10260920599102974,0.2088397303596139,2.590171918272972,-0.10260920668952167,655.5
68000,1.4223841,0.00023871678,-0.084761836,0.030588858,0.61733645,-0.09244973585009575,0.240123157389462,2.4936262741684914,-0.0924497339874506,660.25
70000,1.4223955,0.0002381168,-0.008496129,0.048470862,0.5967521,-0.44082971196621656,0.18321160785853863,2.1491006202995777,-0.44082971866009757,490.25
72000,1.421239,0.0002375168,-0.02778627,0.055166036,0.58637136,-0.3072188434501489,0.1577561671535174,2.3884871006011963,-0.3072188705361138,556.3333333333334
74000,1.4212409,0.00023691678,-0.011859737,0.05924662,0.56009525,-0.18300926064451536,0.250726534674565,3.0572437047958374,-0.18300925653117397,603.0
76000,1.4223678,0.0002363168,-0.0030917807,0.05809003,0.53310186,-0.3724515847861767,0.15799144213087857,2.2051106952130795,-0.3724515836802311,516.5
78000,1.4239334,0.00023571678,-0.040757813,0.0564682,0.5462546,-0.09328003103534381,0.1773070857549707,3.473262948294481,-0.09328004003812869,653.3333333333334
80000,1.425942,0.00023511678,0.0075881686,0.051274695,0.5115086,0.13705193623900414,0.1707423503200213,3.1805625557899475,0.13705193166000149,767.3333333333334
82000,1.4266343,0.0002345168,-0.046820477,0.04091127,0.49606344,-0.016206754992405575,0.19158239165941873,3.2423595214883485,-0.01620674963730077,682.3333333333334
84000,1.4258721,0.00023391678,-0.0055267178,0.036074184,0.4972892,0.2091173194348812,0.2042423589155078,3.381719222292304,0.209117348655127,789.5
86000,1.4260036,0.00023331678,-0.09625411,0.03022455,0.47139752,5.522000219672918,0.7748349420726299,12.79279899597168,5.522000188939273,2482.0
88000,1.4261527,0.0002327168,0.00010480161,0.030583257,0.5004802,-0.18395164981484413,0.14374251384288073,3.5153213441371918,-0.18395164655521512,591.0
90000,1.4260522,0.00023211678,0.001930135,0.029932035,0.61021197,-0.0607442744076252,0.1795882631558925,4.03419017768465,-0.060744282440282404,631.0
92000,1.4272705,0.00023151681,0.009601288,0.026039237,0.68217,-0.06398287788033485,0.1446762252599001,4.90392375861605,-0.06398290387975673,625.6666666666666
94000,1.4290918,0.0002309168,0.032869983,0.023446767,0.6950196,0.21296484892567,0.14908680537094673,4.775073319673538,0.2129648473734657,749.0
96000,1.4299039,0.00023031679,-0.00024991995,0.032638162,0.6073703,0.07715250675876935,0.4858433891398211,4.108389536539714,0.07715249705749254,694.0
