Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
330000,1.3481969,0.00010500038,-0.20519751,0.09178164,0.50020623,0.007033604,0.07241,0.04182883,0.16934384,0.30121765,0.100237526,0.91076213,0.0,-2.6221576432387033,1.4775923602283,11.515634801859656,-2.622157641259643,1590.5
340000,1.3459816,9.9000375e-05,-0.1792912,0.103184,0.4203809,0.0050418135,0.07088087,0.042207483,0.16722327,0.21700144,0.070377946,0.9366806,0.0,-6.000000238418579,3.294247357174754,10.097150567686185,-6.000000211643055,2482.0
350000,1.3442931,9.300038e-05,-0.19130695,0.11130114,0.50470155,0.014126711,0.07123203,0.043765232,0.17170683,0.28103992,0.09241013,0.92037976,0.0,-5.0949705466628075,2.417802103795111,19.207298756984528,-5.094970530306455,2259.0
360000,1.3423918,8.700038e-05,-0.18830512,0.10304188,0.49845347,0.00458547,0.06733118,0.032803435,0.15441927,0.21269092,0.07150303,0.93932533,0.0,-4.211427623033524,1.6853842847049236,8.943077301792801,-4.211427595373243,1968.4
370000,1.3414043,8.100039e-05,-0.19576299,0.09835216,0.4714076,0.0038370572,0.0700893,0.033271443,0.14910328,0.22691938,0.07505709,0.932677,0.0,-4.429918879270554,1.697653952240944,7.487232890632003,-4.429918843694031,2072.0
380000,1.3400514,7.500038e-05,-0.20505905,0.0921532,0.566438,0.0212276,0.077391386,0.031067925,0.15185103,0.29896688,0.09068571,0.9101688,0.0,-3.9195485611756644,1.332973400130868,20.26128735858947,-3.919548547322241,1762.8333333333333
390000,1.3388414,6.900039e-05,-0.18012626,0.09583684,0.63783616,0.0060899467,0.07175285,0.03173691,0.1464297,0.24463797,0.07772222,0.9272665,0.0,-2.6062346945206323,1.181525597969691,7.342918206229418,-2.6062346788433692,1434.5
400000,1.3386215,6.300039e-05,-0.18797767,0.0912117,0.59812194,0.0051241373,0.0735861,0.03464286,0.14795005,0.24410982,0.08178313,0.9280899,0.0,-4.093922299146652,1.5719559080898762,9.091787436138839,-4.093922271719203,1907.0
410000,1.3378134,5.7000387e-05,-0.16529423,0.08755993,0.5632012,0.00447873,0.070045054,0.037261084,0.16096543,0.2442439,0.083983,0.9314377,0.0,-2.5958296358585358,1.2659758340035165,6.420914239649262,-2.595829628008817,1442.0
420000,1.3373086,5.1000385e-05,-0.17847161,0.077238716,0.4246125,0.0023464686,0.068860866,0.029073529,0.13717328,0.21958679,0.07553548,0.93727386,0.0,-4.377997463941574,1.3151070393621922,6.102415834646672,-4.377997452486307,2038.8
430000,1.3371732,4.5000386e-05,-0.17169707,0.07579149,0.45717525,0.0029719067,0.07086245,0.029190158,0.13913469,0.21400061,0.07266678,0.93956864,0.0,-4.8041582852602005,1.7470035930164158,9.958447900600731,-4.80415826337412,2350.0
440000,1.3361517,3.9000388e-05,-0.15624459,0.08661303,0.49323514,0.007934902,0.069369346,0.035757426,0.1519059,0.23985858,0.076507285,0.93140423,0.0,-1.9043944217264652,1.1427737744525075,7.295959687093273,-1.9043944205332082,1259.75
450000,1.3354315,3.3000393e-05,-0.13791941,0.094865344,0.43844694,0.003231945,0.07210361,0.02681395,0.13802007,0.16295478,0.05311392,0.954831,0.0,-5.367548376321793,1.5476329691708088,11.161878518853337,-5.367548355041071,2350.6
460000,1.3347825,2.7000395e-05,-0.17789994,0.10113755,0.48992625,0.005919057,0.068438806,0.029877614,0.14133123,0.18356097,0.060311038,0.9495722,0.0,-3.895474873483181,1.4441251731477678,8.417003553302493,-3.895474854449276,1897.5
470000,1.3345879,2.1000396e-05,-0.20006332,0.0784554,0.5258147,0.003138642,0.06699371,0.028704952,0.1415313,0.20694733,0.071779676,0.9436086,0.0,-6.000000238418579,1.6474562771618366,8.549321074038744,-6.000000211643055,2482.0
480000,1.3344548,1.5000397e-05,-0.20957021,0.0743072,0.47612464,0.004987995,0.0747656,0.031606786,0.14157423,0.22308716,0.074683204,0.93776435,0.0,-4.107174322009087,1.433371025448044,8.972353832175335,-4.107174295388783,2005.1666666666667
490000,1.3341784,9.000399e-06,-0.20476541,0.070645235,0.37048072,0.0022229308,0.06859392,0.023199797,0.1276569,0.15055108,0.05011205,0.9583075,0.0,-6.000000238418579,1.3394001002889127,5.0396589217707515,-6.000000211643055,2482.0
500000,1.3341818,3.0003998e-06,-0.22433504,0.08601025,0.40431795,0.004542808,0.068044744,0.029908568,0.13490853,0.16430514,0.0538808,0.9546897,0.0,-4.708017933368683,2.6154083520174027,9.514383492898196,-4.708017912926152,2023.2
