Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.4189383,0.00029940033,-0.19905248,-0.003865007,-0.111822896,-0.25264641642570496,0.0,0.0,-0.25264642923139036,804.0
4000,1.4114201,0.00029820032,-0.18643081,0.0018622808,-0.097595006,-5.522000219672918,2.584773126989603,8.029489874839783,-5.522000188939273,2482.0
6000,1.409527,0.00029700028,-0.16899048,0.015663737,0.00048451242,-5.522000219672918,2.0457186810672283,15.38685953617096,-5.522000188939273,2482.0
8000,1.4066017,0.00029580033,-0.19897173,0.032801665,0.11739412,0.9534537196159363,0.08456599898636341,1.8376703262329102,0.9534537196159363,239.0
10000,1.4026372,0.00029460032,-0.20624112,0.03608117,0.19421881,-5.522000219672918,1.9805285260081291,17.162214040756226,-5.522000188939273,2482.0
12000,1.4009701,0.0002934003,-0.20381223,0.046301372,0.30434906,-5.522000219672918,1.138522332534194,16.8342846930027,-5.522000188939273,2482.0
14000,1.3986865,0.00029220033,-0.19550687,0.034071118,0.34727165,-2.2630911003798246,1.7901027384214103,9.812114983797073,-2.263091085013002,1360.5
16000,1.3977237,0.0002910003,-0.2018186,0.029762167,0.37893242,None,None,None,None,None
18000,1.3978691,0.00028980034,-0.17168802,0.048233077,0.46183926,-0.5922120302915573,0.4175381031818688,5.237101992964744,-0.5922120252624155,794.2
20000,1.3964173,0.00028860033,-0.17046344,0.033002254,0.49304783,0.05557375028729439,0.09405410068575293,4.266643553972244,0.05557374167256057,615.5
22000,1.3939888,0.0002874003,-0.1311103,0.045482546,0.5296626,-2.292378945276141,0.4267962125595659,10.459629267454147,-2.2923789299093187,1360.5
24000,1.3924094,0.00028620035,-0.07141641,0.066871785,0.5757807,0.7747372364004453,0.1585181082288424,2.3893555949131646,0.7747372413286939,316.0
26000,1.3931226,0.00028500034,-0.047190186,0.046338037,0.5771891,0.27627314254641533,0.08438736235257238,3.920009456574917,0.2762731548282318,550.0
28000,1.3961753,0.0002838003,-0.003698474,0.06202151,0.6101681,0.6105237863957882,0.15731385434046388,2.303004226088524,0.6105237839277834,381.2
30000,1.396647,0.00028260035,0.03705955,0.043299332,0.63089496,None,None,None,None,None
32000,1.3936801,0.0002814003,0.0065084915,0.046258587,0.6119579,-0.23769324272871017,0.17487535191078982,4.730572491884232,-0.2376932273230826,662.3333333333334
34000,1.3910604,0.0002802003,-0.0049085403,0.03702788,0.62054634,-0.3090788386762142,0.13485202961601317,5.405872218310833,-0.30907881958410144,813.0
36000,1.3894559,0.00027900035,-0.007712644,0.032899603,0.6287774,0.00483948178589344,0.11174688395112753,4.166110783815384,0.0048394829500466585,681.5
38000,1.3843911,0.0002778003,-0.018898379,0.030644152,0.63519216,-5.522000219672918,0.46377352997660637,15.72971186041832,-5.522000188939273,2482.0
40000,1.3833038,0.0002766003,-0.04714643,0.028664252,0.62670374,-2.8781837187707424,0.3470237972214818,12.702237486839294,-2.878183725522831,2084.0
42000,1.3836235,0.00027540035,-0.06575048,0.026347633,0.6281306,-5.522000219672918,0.4930197549983859,15.327399015426636,-5.522000188939273,2482.0
44000,1.3838278,0.0002742003,-0.06699708,0.026382037,0.6252829,0.7462195195257664,0.0465106712654233,2.4056780636310577,0.7462195281405002,340.0
46000,1.3868735,0.0002730003,-0.08658088,0.025287682,0.6306102,-5.522000219672918,0.5627346280962229,15.61089739203453,-5.522000188939273,2482.0
48000,1.3894274,0.00027180035,-0.089736804,0.023844937,0.6306203,-1.3107245427866776,0.28158495544145506,6.475870328644912,-1.3107245263333123,1024.0
