Steps,Policy/Entropy,Policy/Learning Rate,Policy/GAIL Value Estimate,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
3000,1.4189385,0.00029955019,-0.096083425,0.0,6.000000211643055,2499.0
6000,1.4189385,0.00029865018,-0.12087071,0.0,6.000000211643055,2499.0
9000,1.4189385,0.00029775014,-0.07543557,0.0,6.000000211643055,2499.0
12000,1.4189385,0.00029685016,-0.064377196,0.0,6.000000211643055,2499.0
15000,1.4189385,0.0002959502,-0.08987199,0.0,6.000000211643055,2499.0
18000,1.4189385,0.00029505018,-0.11601336,0.0,6.000000211643055,2499.0
