Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.4446907,0.00025851678,-0.11086191,0.030142209,0.699823,0.0032753068953752518,0.0,0.0,0.0032753203995525837,654.5
4000,1.4445648,0.00025791678,-0.11665021,0.019032935,0.5914743,-0.49127982680996257,0.1928103920072317,3.890585422515869,-0.49127980942527455,880.0
6000,1.4437296,0.00025731677,-0.09883864,0.01237269,0.59095174,-2.1643827222287655,0.4161368291825056,11.006236612796783,-2.164382703602314,1732.0
8000,1.444202,0.0002567168,-0.08282183,-0.004316183,0.6018398,-0.44776221737265587,0.24368653818964958,5.72452013194561,-0.4477622165577486,901.5
10000,1.4454324,0.00025611676,-0.11565848,0.00045138708,0.5937486,-0.6060953699052334,0.28221590211614966,7.591276675462723,-0.6060953800333664,966.5
12000,1.4451867,0.00025551676,-0.11327088,0.009569102,0.6019375,-0.7741471044719219,0.22576037980616093,6.836120307445526,-0.7741470881737769,1055.5
14000,1.4445046,0.00025491678,-0.09847652,0.017587282,0.60628587,-0.3560698591172695,0.20854424498975277,5.553805947303772,-0.35606982093304396,863.0
16000,1.4456407,0.00025431678,-0.0933848,0.01953733,0.60154366,-5.522000219672918,0.4869591686874628,16.355318307876587,-5.522000188939273,2482.0
18000,1.4468548,0.0002537168,-0.09561246,0.019154252,0.6290125,-0.3720354549586773,0.21854376746341586,6.449898466467857,-0.37203544506337494,893.0
20000,1.4472207,0.0002531168,-0.10122998,0.017071798,0.63270676,-1.008404191583395,0.3204830950126052,8.630236178636551,-1.0084042043890804,1201.0
22000,1.4474812,0.00025251677,-0.08955785,0.011291198,0.63952446,-1.2847770117223263,0.3602945492602885,8.336546793580055,-1.2847770126536489,1331.0
24000,1.4475054,0.00025191676,-0.0810672,0.0070260502,0.66683465,-0.8682774864137173,0.3297034651041031,7.208062469959259,-0.8682774978224188,1112.0
26000,1.4479746,0.0002513168,-0.038869496,0.010127328,0.68217266,-1.551765974611044,0.49427331425249577,9.605375189334154,-1.5517659803153947,1445.5
28000,1.4467556,0.00025071678,-0.050092712,0.009175386,0.67510676,-0.5171079896390438,0.2601599283516407,5.112595960497856,-0.5171080038417131,909.0
30000,1.4483008,0.00025011678,-0.05320475,0.009902619,0.6907082,-0.45116762941082317,0.32848485993842286,6.370284592111905,-0.4511676113276432,877.6666666666666
32000,1.4493425,0.00024951677,-0.04323678,0.01926076,0.68642956,None,None,None,None,None
34000,1.4498441,0.00024891677,-0.053220578,0.01988459,0.7103615,-3.871120657771826,0.8724699467420578,14.705110266804695,-3.8711206280859187,2104.5
36000,1.4493291,0.0002483168,-0.058310185,0.030178145,0.6851288,-0.3410334847867489,0.28979152347892523,7.1869619488716125,-0.34103349468205124,824.5
38000,1.4476165,0.0002477168,-0.05035674,0.045247927,0.6773897,-0.6358075402677059,0.5557023026049137,7.177829265594482,-0.6358075195457786,963.0
40000,1.4461555,0.00024711678,-0.07050553,0.03937847,0.67364514,-1.4628732465207577,0.5414452757686377,8.067598581314087,-1.4628732244018465,1382.0
42000,1.4462965,0.00024651678,-0.08369451,0.053463884,0.6598944,-0.4622988663613796,0.27890570275485516,5.287960264831781,-0.46229887078516185,919.0
44000,1.4460301,0.00024591677,-0.054147962,0.054755665,0.6722754,-1.2430543266236782,0.4837610609829426,9.156252913177013,-1.2430543447844684,1289.0
46000,1.4452772,0.00024531677,-0.11469924,0.053110067,0.6338187,-1.856622215360403,0.5169300436973572,9.004294335842133,-1.856622220017016,1569.0
48000,1.4445372,0.00024471676,-0.11020597,0.045081504,0.6303615,-0.6685393117368221,0.32265726290643215,6.095298409461975,-0.6685392806539312,999.5
50000,1.4449345,0.00024411679,-0.105097175,0.044754326,0.6037777,-2.7979736886918545,0.8312232568860054,12.508945435285568,-2.7979736716952175,2090.0
52000,1.4451799,0.0002435168,-0.10443354,0.05502478,0.6311381,-0.38537342473864555,0.24636052595451474,6.036958567798138,-0.38537344650831074,885.0
54000,1.4450749,0.0002429168,-0.091254584,0.06382883,0.6123359,-0.04323313757777214,0.22483406797982752,4.232147507369518,-0.04323314060457051,703.0
56000,1.4451562,0.00024231678,-0.07465367,0.05452081,0.65014863,0.255034410705169,0.20458181233455738,3.7561780909697213,0.255034415749833,568.0
58000,1.4443338,0.0002417168,-0.048366856,0.06221955,0.5959079,0.24292967841029167,0.25113657396286726,3.565740967169404,0.2429296644986607,573.0
60000,1.4429091,0.0002411168,-0.038158335,0.059784103,0.61342984,0.3879934487243493,0.1814859633644422,2.953562408685684,0.3879934553212176,511.0
62000,1.442125,0.0002405168,-0.019710477,0.05311917,0.6162211,-0.07601770386099815,0.327280362136662,4.417455151677132,-0.07601771208768089,738.6666666666666
64000,1.4417412,0.0002399168,-0.035826568,0.0412598,0.621372,-0.019745435565710068,0.31104776573677856,4.393261671066284,-0.01974542555399239,716.3333333333334
66000,1.4396647,0.0002393168,-0.015508782,0.031191293,0.6089016,0.10260920599102974,0.29696398228406906,3.8680639564990997,0.10260920668952167,655.5
68000,1.438795,0.00023871678,0.0030116702,0.030347629,0.59749603,0.09244973585009575,0.3294665296562016,3.7834265250712633,0.0924497339874506,660.25
70000,1.4381415,0.0002381168,-0.0056695202,0.030309271,0.59492254,0.44082971196621656,0.1862572676036507,3.4019508361816406,0.44082971866009757,490.25
72000,1.4359486,0.0002375168,0.010675214,0.012770118,0.5841677,0.3072188434501489,0.247804733303686,3.3624139527479806,0.3072188705361138,556.3333333333334
74000,1.4333445,0.00023691678,0.06304266,0.01479172,0.59548026,0.18300926064451536,0.24737904220819473,3.829981525739034,0.18300925653117397,603.0
76000,1.433035,0.0002363168,0.10724601,0.0106835235,0.613178,0.3724515847861767,0.17521060351282358,3.3832261972129345,0.3724515836802311,516.5
