Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
2000,1.4189383,0.00029940033,-0.19525741,-0.002229588,-0.11638027,0.25264641642570496,0.0,0.0,0.25264642923139036,804.0
4000,1.4146342,0.00029820032,-0.1384421,-0.002075916,-0.10388805,5.522000219672918,0.6439072843641043,7.218344122171402,5.522000188939273,2482.0
6000,1.4160019,0.00029700028,-0.0689316,0.009843109,-0.0051405355,5.522000219672918,4.051724445074797,16.79185926914215,5.522000188939273,2482.0
8000,1.4166557,0.00029580033,-0.033374615,0.012038147,0.06207543,-0.9534537196159363,0.11621514707803726,1.3526249527931213,-0.9534537196159363,239.0
10000,1.4143401,0.00029460032,-0.005588117,0.034157805,0.13559198,5.522000219672918,0.370374109596014,14.85967805981636,5.522000188939273,2482.0
12000,1.4114065,0.0002934003,0.017465608,0.051592417,0.2004264,5.522000219672918,3.787267726380378,17.340388774871826,5.522000188939273,2482.0
14000,1.410348,0.00029220033,0.016589373,0.055784624,0.25741094,2.2630911003798246,0.9251776151359081,7.306185811758041,2.263091085013002,1360.5
16000,1.4094502,0.0002910003,0.08575551,0.0614596,0.3035749,None,None,None,None,None
18000,1.4099038,0.00028980034,0.04054928,0.064384885,0.3575112,0.5922120302915573,0.2659109010361135,4.594908367097378,0.5922120252624155,794.2
20000,1.4115123,0.00028860033,0.0767025,0.070734225,0.3776717,-0.05557375028729439,0.12820759881287813,2.956261530518532,-0.05557374167256057,615.5
22000,1.4111958,0.0002874003,0.07133588,0.06548312,0.38600495,2.292378945276141,0.35930741345509887,7.528722628951073,2.2923789299093187,1360.5
24000,1.4102776,0.00028620035,0.029999865,0.060563207,0.42941004,-0.7747372364004453,0.1101486647191147,1.4995056639115016,-0.7747372413286939,316.0
26000,1.4113587,0.00028500034,-0.0007337209,0.059772827,0.46617576,-0.27627314254641533,0.14516335586085916,2.935337409377098,-0.2762731548282318,550.0
28000,1.4115512,0.0002838003,-0.048156295,0.050098944,0.4662374,-0.6105237863957882,0.12307400312274694,1.6265368297696114,-0.6105237839277834,381.2
30000,1.4128604,0.00028260035,-0.10244818,0.043018285,0.4139683,None,None,None,None,None
32000,1.412291,0.0002814003,-0.08064689,0.037817724,0.4498994,0.23769324272871017,0.24417751748114824,2.891457570095857,0.2376932273230826,662.3333333333334
