Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
10000,1.4189383,0.0002970003,-0.09483196,-2.361420209830006,-2.3614202070360384,1380.6666666666667
20000,1.4187541,0.00029100032,-0.111437865,-2.1391297908765927,-2.1391297785698304,1333.4285714285713
30000,1.4187164,0.00028500034,-0.11205324,-5.522000204771757,-5.522000188939273,2462.0
40000,1.4188235,0.00027900032,-0.12504144,-4.3352534048259255,-4.335253392346203,2070.0
50000,1.4190918,0.00027300033,-0.12617731,-2.917584264384849,-2.9175842623891577,1593.7142857142858
60000,1.4188316,0.00026700032,-0.13178897,-2.3726349342614412,-2.372634916139456,1390.3333333333333
70000,1.4176633,0.00026100036,-0.1403013,-3.4636561957498393,-3.4636561886096993,1763.8333333333333
80000,1.4168149,0.00025500034,-0.1398934,-2.8136637301317284,-2.8136637209182873,1540.857142857143
90000,1.4164178,0.00024900032,-0.14324495,-2.966808968037367,-2.966808959050104,1585.8
100000,1.4161289,0.00024300034,-0.15026441,-2.3376020304858685,-2.3376020160794724,1371.375
110000,1.4160824,0.00023700035,-0.15607964,-1.2785698713527784,-1.278569870033405,1004.4444444444445
120000,1.4165148,0.00023100035,-0.16304234,-4.241574236750603,-4.241574224503711,2018.6
130000,1.4167758,0.00022500036,-0.15662412,-2.7871435252683505,-2.7871435255344426,1527.857142857143
140000,1.4171764,0.00021900034,-0.1616705,-2.9419850409030914,-2.941985035408288,1577.2
150000,1.4176518,0.00021300034,-0.16268878,-3.3784618644664683,-3.3784618539890894,1728.0
160000,1.4175174,0.00020700035,-0.13082446,-0.7113240910694003,-0.7113240868784487,810.1666666666666
170000,1.4170303,0.00020100035,-0.15401122,-3.3909974861890078,-3.3909974803682417,1729.3333333333333
180000,1.4162234,0.00019500036,-0.14222369,-1.254304702497191,-1.2543046994703926,1003.0
190000,1.4154173,0.00018900036,-0.13479497,-1.2518804989134271,-1.2518804954985778,998.8333333333334
200000,1.4150723,0.00018300035,-0.14353867,-2.9902356795966627,-2.990235670702532,1591.8
210000,1.4151217,0.00017700037,-0.12861079,-2.7789923176169395,-2.7789923075719605,1521.857142857143
220000,1.4152857,0.00017100036,-0.14686103,-3.3833608801166215,-3.38336087227799,1725.0
230000,1.4152509,0.00016500037,-0.15189904,-3.3805017042905092,-3.380501694783258,1726.6666666666667
